text,label
i also chat when i feel frustrated with guys but now i think about my future husband,anger
i could not help feeling thatrupert meant to be rude to my father though his words were quite polite,anger
i am very motivated to learn from the lessons of history because otherwise i feel that we are doomed to repeat the same mistakes,sadness
id been feeling so smug about not catching what had been going around,joy
im taking a year out now so for the first time in a good while i feel relaxed,joy
i almost lost my feelings in this gloomy world,sadness
i find it unloving and unkind to our bodies and only makes us feel like we re being punished for something,sadness
i cant abide the political mess the country is in though i feel equally enraged about the state of uk politics,anger
i have lately been feeling very productive with my time at home and happy with my life in general and happy with my children and my husband,joy
i feel drained of energy,sadness
i feel so helpless without a camera to shoot pics of all the thrifty things i find and my beautiful flowers etc,sadness
i could leave spitak and come back after two years to the same town the same neighbors the same school children shouting my name and feel welcomed,joy
i feel especially strongly about this since i have hated my teeth forever i was one of the unlucky ones who got bad genetics and an even worst orthodontist and pediatric dentist,anger
i just have a weird feeling that there was nothing innocent about what they were script type text javascript src http partner,joy
i havent written in awhile and it feels terrific to scribble stuff down in a notebook from time to time,joy
i plot that makes the reader feel like he is with owen morgan during his dangerous undertaking,anger
i just feel really emotionally drained,sadness
i feel really glad that i dont look like the celebrities out there that are so beautiful she told dr,joy
i get the feeling that people have died it s bothered me so much that in the past i ve cried my hair must look perfect whatever the weather all of this anxiety brings me to the end of my tether,anger
i feel about him and how he affects me and people around me this is my story i have been trying for years to find a way back to the life i had before being in a long and very violent relationship,anger
i was powerless over my life and the things that left me feeling abused unhappy and generally discontent and miserable i was stuck,sadness
when i damaged my wristwatch which i liked very much,anger
ive had where i feel good enough to work the whole shift possibly the whole day,joy
i am feeling all melancholy,sadness
i get into conversations and regret them and start to feel exhausted after fifteen minutes of something that sounds like something but feels like it is only peas and carrots peas and carrots mush mush mush,sadness
i wanted it to feel like all these fabulous people at an incredible party fell asleep and when they woke up the place had been a bit overtaken with lush florals and greenery,joy
i feel my readership has been severely damaged to the point where it will take a very long time to build it back up,sadness
i was feeling like a beluga whale and quite grouchy,anger
i feel a discontent an almost constant pull to travel need for an adventure to find my purpose and loneliness,sadness
i feel the need to tell you that phone calls do provide some useful purpose as annoying as they may be,joy
i hate feeling so despised and detested by someone who i truly care for and completely love,anger
i guess ive heard enough over the two months because each time i hear such comments i honestly feel offended,anger
i see jacque i feel extremely guilty because she still hasn t forgiven me,sadness
im really like she said only you can understand the way i feel toni ight she blamed excesses on the merican dream so seldom witnessed never er seen hah hah hah hah hah,sadness
i feel creatively inspired,joy
i am left feeling rejected judged and deemed inadequate,sadness
i am feeling reassured by this a wave of missing hits,joy
i refuse to cut my hair too early and then possibly throw myself into some sort of depression because i don t like the length of it or don t feel pretty enough,joy
i am feeling very sentimental and i am going to miss college i am thrilled about this new upcoming adventure,sadness
i felt and continue to feel absolutely horrible for those who flew great distances and spent their money in hotels all for naught,sadness
i feel lethargic and i find no more reason to move not even a full bladder threatening to burst,sadness
ive been feeling all listless this two days,sadness
i feel pressure to act like im so heartbroken but secretly i dont really care that much,sadness
i got a feeling give it up i got a feeling get away becuz i m cuz i m dangerous oh i m a badman ah,anger
i never feel like i have it perfect sometimes i lean a little too heavy on the work which means more chaos at home and sometimes i lean a little too heavy on the home which means i get a little lonely and cranky,joy
i overhear the victory tune on some geeks ringtone i feel triumphant,joy
i feel kind of pathetic that i have such a hard time with this all,sadness
i feel hated and not wanted but just be an ignored,sadness
at school,anger
i always plant a big section of lettuce and i leave it open for those pesky bunnies so that they can feel all rebellious as if they are raiding my garden,anger
i strongly dislike feeling stupid which is a feeling that comes up for me at least once per day and often more frequently than that,sadness
i feel content just because of the weather,joy
i had not yet gotten married and that coupled with the pressures of being a senior pastor coupled with the reality of my glaring inexperience made me feel quite stressed,anger
im beginning to feel isolated in the work place but i dont attribute blame to anyone or anything,sadness
i was waiting an hour after strength training and i would feel really listless after a while,sadness
i am feeling it and it s really ok,joy
i choose someone i feel that it is my obligation to be truthful and completely faithful to that person with utmost loyalty,joy
i do realize that this is a unique situation and is by no means representative of the majority of amazing birth moms out there who make hard decisions in the best interests of their children but i can t help but feel jaded by the experience,sadness
i feel honoured and very happy to become part of this wonderful team thanks to nadia,joy
i had to have something to give the katy and the danny and of course they stalk my blog and of course i couldnt leave erica feeling unloved,sadness
i have begun to feel irrationally resentful and angry towards people,anger
i suddenly feel a lot smarter and more talented than i did last night,joy
i was feeling rejected and sad,sadness
i tell people it feels like i am trying to convince people i am innocent but no one believes me,joy
i ended up with a perfect studio and now when i walk into it i feel aggravated yes it is bizarre,anger
i now feel i can advise other dads whose children will soon become teenagers it s not cool to pull up to your kid s high school to pick them up in a smelly jalopy with plants coming out the windows,joy
i friends its a feeling that runs under everything he is every dumbass word he says and moronic thing he does but its worst when hes with rukia,sadness
i remember moments of feeling lost or hopeless when i was younger,sadness
i was feeling quite impatient and must have hit the ad because thats when my internet died and vista virus pro started to bother me,anger
i certainly have never felt it was appropriate for any life to have to supplicate their life before or to another life simply because the other life feels they are superior or more equal,joy
i am feeling a little rejected by my sister,sadness
i provided dinner alcohol and a place to crash and all i got in return was the feeling of being completely unwelcome in my own apartment,sadness
i think the most common one that everyone has experienced is that doom and gloom feeling where you just feel like something tragic just happened,sadness
i feel less bothered of things happening around me,anger
i still get excellent feedback from unlikely people friends of my parents team mates co workers and the support really makes me feel like im doing something worthwhile,joy
i was able to feel everything and exactly where my sweet boy was in the birth canal,joy
i havent gotten them yet because i still resent paying dollars for a procedure that wasnt fully successful and since i wore glasses for years i feel ive been tortured enough,anger
i feel so sorry for californians,sadness
ive clawed time back and i still feel strong,joy
i felt doubtful and the image that popped into my mind was of dealing with a big knot in my shoelace and then feeling frustrated,anger
i feel burdened a href http scratcheverything,sadness
i don t feel that talented at impacting how things end up at the moment,joy
i may be a bit late this year but im feeling very festive sat by the fire imagination its actually just a hot radiator,joy
i feel however that this administration is so dangerous i have no moral choice but to speak,anger
i feel an angel steal me from the greedy jaws of death and chance and pull me in with steady hands theyve given me a second chance the artist in the ambulance can we pick you off the ground more than flashing lights and sound,anger
i feel it is worthwhile to document it for people who are not familiar with batch files,joy
i feel with the capacity of a producer and an actor someone like david would be far more accepted when he comes onscreen and shows boxing in a different light,joy
i didnt feel that it was strong enough to stop me from turning into a strawberry by the end of my holiday,joy
i feel really devastated and i feel like i can t breathe,sadness
i have an overwhelming feeling of sadness that there are people in this world that are so hateful,anger
i feel that i shouldnt be his back up a rel nofollow target blank title girlfriend href http eepctqlhiafjwnrrmas,sadness
im worth something on those days when i feel less than acceptable as a human being,joy
i feel that im so excited to tell you everything about korea now,joy
i feel so virtuous having made this for dinner tonight,joy
i feel ok lol,joy
i worked very hard on holding my technique when i was tired and i feel sure that it is improving,joy
i was feeling grumpy not women problems grumpy but five year old i want to get my way kind of grumpy you don t think there s a difference,anger
im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet,anger
ive had two shots of lupron and im feeling fine,joy
i feel like i have to pee already just thinking about this thing poking at my g spot but i m determined to find a stimulation method i enjoy,joy
i am and i feel respected and safe with them,joy
i got the feeling she hated that that i would not admit it let it in i know ive hated every single obstacle that kept it from her every single leaden block that kept being placed in our once clear path to one anothers arms,anger
i feel proud now,joy
i just hate feeling left out and i wanna be a cool kid even though i hate the cool kids,joy
i feel content if not happy,joy
i usually feel angered by this mad that my body could be betraying me in this way mad that a whole week out of every four is spent wasted,anger
i mean that it feels to me that she feels that everyfuckingthing is my fault which fucking makes me irritated because im neither passive enough to tolerate it nor is it my fault,anger
i feel more adventurous willing to take risks,joy
i feel they look a little awkward just below,sadness
i really feel relaxed is when i am in my art class painting and it is really conveniently at the end of the day so i can unwind and take a breather,joy
i feel contented small old rich tired and happy,joy
i said well we can but i m feeling greedy with your time,anger
i have no idea why i was feeling so lethargic yesterday probably because i got a bit dehydrated,sadness
i have definitely felt the stirrings of spring and although i expect more winter weather in march i feel assured that the seasons are changing,joy
i have to say i feel slightly envious of julian,anger
i want you to feel my awe and astonishment at this amazing thing that is happening,joy
i feel obnoxious for saying that,anger
i feel completely groggy this morning,sadness
im just feeling so lethargic,sadness
i cant even tell you how refreshed i feel exhausted,sadness
i have been highly critical of dennis covingtons book in this article i must admit that he did say something that has merit in this discussion when he noted in his closing chapters this feeling after god is a dangerous business,anger
i love rocking her to sleep at nap time during the day and not feeling rushed or exhausted,anger
i feel like i missed my calling id be a damn good special ed teacher,sadness
i was feeling wednesday night so i wasn t thrilled to be in training again ha,joy
i was feeling optimistic and actually ran the first couple miles at probably a pace,joy
i feel that the world is a tragic and woeful place to live in,sadness
im really happy with the pregnancy support and would recommend it to anyone whos really feeling like their suffering with back and abdomen aches and pains in pregnancy,sadness
i do feel very successful right now,joy
i am feeling valued and supported which is great,joy
i feel like a selfish bitch for feeling this way when countless impoverished people are suffering surely a hundred folds more than i am,anger
i finally found this afternoon and i wear it feeling like a vicious lurker,anger
i feel stupid typing that,sadness
i want him to feel emotional pain,sadness
i feel like i m going to break at any second and become as mad and deranged a la helena bonham carter in sweeney todd,anger
i feel divine forgiveness of all human frailties,joy
i feel so honoured and luckily for me i get to post cards,joy
i eat biscuits crisps and ice cream all day yeah it tastes great but it makes me feel so groggy the following day take more photos,sadness
i feel stressed i tend to scrapbook and make cards,anger
im just feeling so fucked up nothing can cheer me up,anger
i was the one who was bearing all the pain and anguish yet why was it that i was the one that continues to feel the hurt while the ass is still gallivanting and showing off,sadness
i feel that i don t have anything to contribute to the conversation about books and that my writing is boring shallow bunk,sadness
i always feel like im entirely pathetic and needy but those people usually tell me that i was neither just quieter than usual,sadness
i feel it needs to be respected for its own sake,joy
i feel weepy a lot,sadness
when i heard that my sister had shouted at my friends cousin at their place,anger
ive been feeling quite miserable wouldnt be lying,sadness
i am feeling low i turn to flowers,sadness
i feel disgusted when need to act cute like the actions of gwiyomi,anger
ive hijacked a fantasy and i feel foolish,sadness
i feel the earth move tribute to carole king karaoke mix bewertung rel nofollow target blank,sadness
i just feel so fucked up these days,anger
im feeling a bit mellow this morning,joy
i just finished a long day of work and am feeling a bit sentimental and its been a few weeks so i thought id get on here and write a few words,sadness
i say it when im stressed feeling bitchy when im slacking in the toilet or when i feel constipated,anger
i don t feel like eggs benedict i ll have something equally delicious,joy
i feel this way is probably because i am dumb and i try my hardest to cover it up by reading lots and lots of books or you know becoming a doctor,sadness
i feel like i missed out on a lot of important information that would have helped me understand his art better,sadness
i identify with being independent admittedly sometimes to a fault and being strapped all the time makes me feel needy,sadness
i feel lucky every single day for it,joy
i feel so envious and proud of you at the same time if it is at all possible to feel that way,anger
i feel heartless in saying so though,anger
i feel like i was a rude ass hole at hookah,anger
i feel empty a href http mohdashif,sadness
i am afraid that once again i will feel hopeless and lose all of the peace that i gained after my last episode,sadness
ill be attending college classes and ill have a bunch of stuff to tell you guys about like how classes are going and how im feeling and if i meet anyone cute or not,joy
i must not allow myself to judge the character of others and or dwell on feelings of having been wronged lest i develop serenity stealing resentments,anger
im feeling groggy and horrid,sadness
ive had to harden my heart to toughen my skin in order to truly protect myelf from feeling utterly devastated,sadness
im still feeling a bit grouchy,anger
i won a car in a prizecompetition the moment i was informed about it,joy
i said sir i feel from real time company experience that mba would be more valuable for my career than gate since most work now a days in it companies now is support based,joy
im feeling rebellious for the sake of being rebellious,anger
i usually wake up feeling kind of groggy,sadness
i am officially feeling festive,joy
i was feeling beaten up by life yesterday you see i am in love with a schizofrenic man who i had to kick out of my house for having boisterous fights with himself,sadness
i feel like its important to reveal lessons youve learned in tough times along with ones youve learned in awesome times when you are endeavoring to build an audience through honesty and authenticity,joy
i think that we must continue to seek each other s good even as we feel offended and to always look for ways to go lower and walk in the humility that jesus walked in,anger
im feeling enraged at another persons actions i have to consider what i was thinking about in the moments prior to the incident,anger
i am grateful for every single thing i have maybe then ill start feeling dismayed when i don t have more,sadness
im feeling like a shitty person right now because i just did or worse,sadness
i feel envious and embarrassed,anger
i also find that if youre feeling cold then get out the broom and scrubbing brush some vinegar and old newspapers and give the house a going over,anger
i feel like i have an artistic block right now and my artwork looks stiff and forced when that happens,joy
i love being able to wear track pants in the day time with the cuffs rolled up with anklets and ballet flats i love being ridiculously warm and feeling smug as i see people struggling with bags with their big coats with pockets like these who needs bags,joy
i don t know if these children will fulfill their dreams but i am happy that they as sponsored children have a better chance of doing so and that instead of feeling hopeless they have a vision of something beyond their lives of poverty,sadness
i suppose in some ways i should feel irritated that if she knew why didn t she do anything to help me with this lone cause i was feeling,anger
i feel empty inside iphone wallpaper mobile wallpaper to your wap folder img src http images,sadness
i feel that the classroom is extremely dangerous,anger
i feel disappointed for so dont say sorry dont say baby,sadness
i never wanted to be kissed never wanted to break the code but shed stolen that from me and i feel like i lost something i will never get back,sadness
i feel frustrated lonely or am having a hard time i think of elf and regain my strength lets spend together you guys and the other member for sure,anger
i want to say how i want to feel just come out so bitter and angry,anger
i get this sudden feeling that i am completely annoyed at him,anger
i felt so good in fact i went to zumba half an hour later for an hour and then left there feeling even more energetic if that was possible,joy
i would like a lazy immersed in my boring feeling i like the friends have a pleasant talk together and boring,joy
i feel really honored that i could experience the brazilian public healthcare system from the inside,joy
im feeling font friendly,joy
i feel like they might be engineering hostile situations by which i mean wars and missile testing and dropping spy planes out of the sky and all the rest because overwhelmingly they have y chromosomes and because they are bored,anger
im already beholding myself not to be indulged into high intensity of feeling homesick but i think i just did,sadness
i felt like i couldnt let myself believe the feelings i was getting from these men that the phone call had been a fake,sadness
i can feel something unfortunate taking place though out here and in new york,sadness
i was feeling a little grumpy thinking about everything that needs to get done but flipping it around this way well now i m ready to roll up my sleeves write some to do lists and get to work,anger
i try to breathe in when i feel frustrated and breathe out the calm that i desire,anger
i feel so stressed out with family problems,sadness
i have to go out into the fields and sometimes if i feel more adventurous than usual right into the woods near my home,joy
i began to feel a cranky feeling of why the hell do i do what i do,anger
i feel that this is neither impatient nor dickish and here are some reasons why,anger
im currently feeling cranky for silly reasons im now going to complain,anger
i alight in front of the hotel i can feel the bellmen s appreciative glances,joy
i feel sorry for you guys,sadness
i feel like if i was here long enough i would have my emotions back b c i could either be so stressed out by the people that i cant hide my emotions or that i would have my support back and feeling would be safe again esp without uw school work,anger
i arlovski on ufc win i feel really horrible leave a comment,sadness
i imagined its what zombies must feel like because each time i would wake up pissed,anger
i write these words i feel sweet baby kicks from within and my memory is refreshed i would do anything for this boy,joy
i still try to force myself to do some even if i m feeling irritable withdrawn and quiet at the time,anger
i got a feeling that the hateful talk in the work place wore thin and they kept her around only for what they absolutely needed her to cover,anger
ive test tried dropping it and nothing happened which is supposed to be if something happened to my phone i would feel so fucked up,anger
i didnt usually feel quite so hated at this hour of the morning,sadness
i told you i never wanted you to rot in hell and most of the time i wished i was just less stupid and clumsy so that you will never ever feel unhappy,sadness
im blocked i could at least be doing something constructive my room needs a major cleaning for instance but i feel agitated if im not at least doing research for this story it does require a lot of research,anger
i feel after venting to a notebook is amazing,joy
i am feeling a little bit hostile towards my ex today,anger
a boyfriend with whom i split up with came over to a friends house where i was visiting with a male friend in a confrontation in another room he tried to find out if i was aroused by my friend by feeling my parts,anger
i walked away feeling a little dismayed but ive got a mission to carry out now,sadness
i feel so fucked like everyday of my life,anger
i continued to feel very submissive and continued to be aroused as well,sadness
im feeling awfully irritated and worried and for a few good reasons,anger
i feel sure the nervousness and fear will always lurk in my mind but i feel at ease in my heart hopeful about theo ad and eli being happy healthy and safe and living to be old people with fulfilled lives,joy
i just feel more enraged and that my life has been taken advantage of yet again,anger
i was little i always had this exciting jittery feeling the day before i went on holiday but now im pretty meh about it,joy
i am currently feeling very aggravated,anger
i feel like it would be too clever and get into a ton of things all the time,joy
i want to scream to yell at everyone who i feel has wronged me but honestly what good will that do,anger
i envy those couple who cant wait to get married and feel so pleased that they are eventually married,joy
i promise keep it real whatevers on my mind i m a speak on how i feel stay truthful and never lie u and i wont ever keep no secrets no matter whatever,joy
i feel when that imperfection is shamed coerced or mocked,sadness
i was feeling grouchy and upset about a situation with a girl which wasn t going how i d hoped,anger
i feel the pain again until i came from school and its still aching,sadness
i feel like i m on the receiving end of a violent attack,anger
i tried but i failed to put much efforts therefore i feel myself getting punished for not able to see my idol i should be i used to watch all of his b amp w movies made during my mothers generation but still i liked him his mesmerism style music his zest for life,sadness
im feeling jealous just thinking of you all wrapped up all clean warm and soft,anger
i love getting my rockabilly look on for certain occasions i love feeling pretty,joy
i spent the rest of the morning feeling discouraged and disappointed,sadness
i feel quite honored to exhibit my work in portugal especially within the critical and philosophical context of the god factor project said west,joy
i keep wondering why im hitting walls of grief and loss even while im having fun or feeling excited or enjoying some wonderful friends and pre summer time experiences,joy
i admit i was feeling agitated so when hubby asked me if i want to join them for a drink i agreed,anger
i feel most unwelcome,sadness
i am sure the organisation themselves have the best of intentions though i disagree with them whole heartedly its just i get the feeling that some of the demostrators will be slightly hostile to students,anger
i know its easy to twist things to create an explanation and im still not sure i have one but it did help me to feel a little less mad,anger
i feel is anger with myself for trusting him in the first place and then letting him treat me like that,joy
i love everything that were learning about and feel really passionate about design,joy
i feel privileged to be there at this very real and intense time,joy
i think we all feel a bit disappointed to miss out on points today,sadness
i love working for myself being able to set my own hours and writing about something i feel so passionate about,joy
i was left feeling embarrassed stupid but i was on a mission to fuel up with coffee is this an excuse,sadness
i have a feeling my mom wont be so keen on that idea,joy
i got a bad feeling ryodan doesn t plan to leave me alone in there too long with all those computers,sadness
i was feeling lethargic hahaha,sadness
i finish typing this post i realise i m ok no longer do i feel annoyed angry or even sad,anger
i feel so incredibly blessed especially during the hectic exam period,joy
i get mad at my brain for slowing down in the summer and i have gotten frustrated that my work doesnt get done and i forget things and on top of it i feel lousy for a good chunk of the year,sadness
i made my own recipe cards and included little gift cards for friends far away so we could feel like we were having coffee and a delicious treat together if i can do this on the computer anyone can,joy
i am tired of feeling awful,sadness
i feel like ive never felt this lonely or depressed or unhappy with my life but i still smile and maintain and good mood in school,sadness
im not really a fan of seafood and all that so i feel quite sorry when people kill live clams and prawns and shark fins,sadness
i feel so enraged that i want to punch him but i don t because he s only years old,anger
i feel so blessed and beyond thankful for the opportunity to paint for my readers its been the best,joy
im gonna list my favorite work out stuff because once i say stuff on my blog i feel shitty backing out on it,sadness
i was feeling frustrated at work wondering if i am living a life with meaning and purpose,anger
i feel fucked up on the inside,anger
i wanted to make him feel special on his birthday particularly as he was going to be putting in a looooong day at work,joy
i feel and i dont need some dumb reason to legitimize or excuse the way im feeling,sadness
i understood somewhere in my heart his feeling of decite and abandonment of all hope for ever trusting me again,joy
i was already feeling burdened to write write write,sadness
i just feel heartbroken vunerable and sick tonight,sadness
i feel wonderful earley said,joy
i feel there are a lot of things that i need want must to do but always somehow got distracted got a call from my crol tl and just told her that couldnt join her as per going to the doc,anger
i miss my friends amp feel neglectful,sadness
i feel the need to have one day a week for those polishes im not super jacked about,joy
i just have to be sure i still remember to keep feeling excited and enjoying what i am already doing along the way,joy
i don t have any issues with the obvious i went chinese with them yesterday and i wasn t feeling hostile towards any of them,anger
i feel like i am getting fucked,anger
i leave feeling defeated hopeless and too weak to keep pressing into god and recovery,sadness
im feeling cute and flirty and bright coloured lipsticks are for when im feeling bold etc,joy
im feeling very grumpy this week but its not just my annual outbreak of ptpt pre te pouhere tension there has surely been a great deal to be grumpy about this week,anger
i know that its hard cos you might feel helpless or anything but sometimes its something that is beyond what you can do,sadness
i returned not feeling rejuvenated but exhausted,sadness
i like to think i can handle a lot but when i feel like my cup runneth over i get irritable,anger
i dont have a yeast infection in the vagina i could be feeling irritated by yeast due to my diet so i should stop eating lots of sugary foods if i can,anger
i feel useful again and serves as a reminder that ive come a long way since the first days of vertigo,joy
i feel somehow regretful,sadness
i tend to think that it kinda contributed to my medium intelligence and made me understand and feel things in a clever and sensible way in the visual arts field especially but i m always feeling that i m losing that more and more,joy
i climbed a mountain and made my way to a village where the people stared at me the children looked frightened and ran away and everyone i came across asked me why i was there in such a way as to make me feel unwelcome,sadness
i was feeling eager to press on,joy
i also mention marriage living in that he also feel the wronged me but at home so high the price is scary an ordinary rural family really difficult to afford the high price of the house,anger
i am learning to step back and call it out to not be too proud to admit that yes i am feeling annoyed and yes i should tell you why,anger
i have a bad feeling that i am going to get very aggravated again tomorrow,anger
i will feel the sadness when i am more troubled,sadness
i feel better now on the menu tonight,joy
i don t want to feel anything i want to be numb,sadness
i feel so ugly lately,sadness
i feel tortured a href http lawrencewashington,anger
i am so connected with families that are not my own and i love them so much and so i feel blessed to find a family to be connected with on so many different levels,joy
i remembered that i gave my day to the holy spirit and filled with his grace how could i feel disturbed with this situation,sadness
i feel no compulsion to bludgeon onlookers with how fabulous i want them to think i am because of the designer labels i was able to acquire,joy
i was feeling good until i saw the flop,joy
i know exactly how put out you are and feel like it is only really acceptable to foist that inconvenience on family,joy
im feeling a bit cranky today,anger
i didnt get anything bad just a lot of thanks and stuff that made me feel good about doing what i was doing,joy
i know its the lot of the dumpee to feel slighted jealous unable to move on depressed angry and a whole bunch of other negative emotions that stem from the whole rejection and sometimes replacement involved in the break up process,anger
i feel so despised and i feel this world is crumbling onto me again,anger
i completely lose ability to segregate my feelings with my actions is when they are rude and hurtful to their father and my husband who is also my hero and best friend and heart,anger
i cough alot more and feel somewhat irritable at times,anger
i dunno the word im even looking for i guess because im not exactly how i feel im selfish i know,anger
i arrived in anchorage it only took a few hours after spending time with my parents eating at a local favorite joint and then going on a stroll in my parent s my childhood neighborhood to be able to take a big sigh and feel relieved,joy
i swamp uncaring unfeeling fucked up apathetic humanbeings who wont pull their heads out of their asses long enough to turn around and look at me and say i see you,anger
i shall just sleep feeling pissed psssh,anger
i want to at least feel more intelligent and i believe becoming a well read person myself will help,joy
i see lovers i feel envious i want someone to be there for me,anger
i don t want people to feel offended by that request it could be viewed as too forward,anger
im feeling so devastated by losing something that others may see as trivial my god takes on that weight as if it was his own,sadness
i didnt feel the stress i was under at telstra was worth it and with out thinking i just resigned,sadness
i know now and i knew then that it was a season of learning about trusting god and i do feel more peaceful and calm because of it,joy
i feel incredibly disappointed in myself,sadness
im around my husband or home alone thinking about him that i feel hopeless,sadness
i feel troubled and also terrified your minute my partner and i view hundreds of white jackets and obtain caught from the surgeons evaluating area sterile and clean smelling and brimming with numerous devices,sadness
im feeling rather inspired yet low i will enjoy my writing and even though i may be writing about morbid things i will find a way to make it interesting to read,joy
i can be surrounded by a sea of people and still feel all alone,sadness
im feeling a little bit more positive now as things were quite hard at first as my savings were eaten up quickly with costs and i didnt want to become a burden to my boyfriend but weve come out the other end and im feeling brighter and more inspired about things to come,joy
i am sitting here feeling a bit grumpy moanday blues anyone else feeling this way too,anger
ive been feeling particularly thankful for my husband which is a sure sign i have a brain tumor or something terribly amiss with my noodle,joy
i feel a mad connection with your body and this is how i decided to kick off side a,anger
i feel which is glamorous and my little lacy bottoms have a tiny g string underneath,joy
i have to admit i m feeling a little victimized,sadness
i need to be wise and hide some things from him because if he really knew all about me then he would feel too safe would get bored and will go find his adventure somewhere else,joy
i feel that branding in college is way more popular then it was back in high school,joy
i have to revise my replies over and over again in my mind just to make sure that the reply sounds appropriate enough and that the person who receive the reply will not feel offended,anger
i feel i really wronged commodore,anger
i feel cranky already,anger
i feel resentful that i have too,anger
i feel fucked church of fuck luminaries swinelord are back with a deluxe r,anger
i didnt feel disheartened,sadness
im so damn tired and i feel a little grouchy,anger
i feel rude feel free to grab the seat next to me,anger
i feel stressed he gets upset for that too,anger
i feel like on my ugly days or ugly phases as i call them i m not just unattractive but that i m unattractive in an odd way,sadness
i am lacking sleep a bit but i also feel like i have a blank sheet of paper in front of me in many areas of church life,sadness
i can imagine what my daily life would look like with hardly a material possession to my name and it feels so peaceful but i will probably not be doing away with everything so how do i find the right balance,joy
i had a sudden feeling of missed opportunity here i could have asked how their evening was going,sadness
i often feel dissatisfied with such discussions partly because of the persistent everyone is beautiful nonsense but partly because they rarely go past the effects of advertising on body image,anger
i feel really tranquil where i am right now,joy
i quite like to do it standing on public transport or busy places when you often feel your space being invaded which can make you feel stressed,sadness
i don t feel like i have a cold i just feel sick,anger
i feel like the one who is being blamed and the one who would get upset if problems arose in the future,sadness
ive been waking up and automatically thinking in portugu s also lately and it feels fantastic,joy
i got up this morning with a heavy burden in my heart feeling a bit discouraged and questioning god about certain things that still are not clear to me,sadness
i feel relaxed at airports are the times the do occasionally occur when i have no luggage especially exceptional luggage,joy
i feel it is vital that a rlsh gimmick needs to be his or her own,joy
i didn t feel particularly mad of course they say that when you are going crazy you really feel like you are becoming more sane,anger
i feel no compunction to be gracious with them,joy
i feel generally dissatisfied and lost,anger
i lost my power feeling lethargic headachie tired mentally blah you get the picture,sadness
i combinations frozen yogurt food art and many more snaps making me feel so miserable about my life while i was still stuck in the office,sadness
i feel far too distracted to actually write anything of substance,anger
i went home that day feeling very discouraged at all of the ground that i had to make up but with my heart set on fulfilling my destiny,sadness
im feeling regretful tonight too,sadness
i feel hopeless helpless and paralysed,sadness
i feel like im not serving a purpose to anyone whether it be keeping them from committing suicide or just a casual conversation partner at a social gathering i am transported to a dark spot,joy
